source,target,weight
150,861,0.081294
151,1473,0.036493
151,2210,0.126214
151,1432,0.058704
151,2161,0.068563
152,514,0.072098
153,1850,0.060659
154,2093,0.085798
154,637,0.105775
154,2092,0.090303
155,852,0.046567
156,170,0.14034
156,1614,0.136379
156,1190,0.05657
156,588,0.040813
157,922,0.043876
157,1820,0.099785
158,1841,0.077945
158,2152,0.071499
158,2153,0.046759
158,1088,0.11174
158,2522,0.038692
158,1706,0.057084
158,1992,0.047495
158,1793,0.078759
158,202,0.050642
159,248,0.098266
159,272,0.141803
159,230,0.048343
159,809,0.036033
159,1585,0.13763
159,294,0.07462
159,2081,0.092693
159,1240,0.077478
159,1155,0.049149
159,2760,0.091587
159,2077,0.0378
159,479,0.059714
159,2426,0.076088
159,1238,0.118074
159,1461,0.063128
159,647,0.03613
159,998,0.06441
159,952,0.046934
162,636,0.045799
162,2575,0.067927
162,1271,0.056454
162,1937,0.078022
163,1057,0.043507
163,710,0.037635
164,712,0.064266
164,662,0.072435
164,987,0.035525
164,183,0.036327
166,311,0.120692
166,281,0.238873
166,415,0.109334
166,235,0.050868
166,1951,0.075618
166,2477,0.076466
166,2170,0.071896
166,2158,0.091001
166,1433,0.042942
166,922,0.051414
167,261,0.059974
167,2158,0.039623
167,236,0.053923
167,1951,0.041473
167,259,0.069021
167,1066,0.063685
168,1475,0.039987
168,1387,0.05173
168,1951,0.052709
168,2282,0.035588
168,260,0.11009
169,171,0.04243
169,301,0.094713
169,258,0.052472
169,1759,0.045658
169,869,0.048231
169,2030,0.071574
169,263,0.064543
169,1540,0.075228
169,1440,0.087129
169,1476,0.089817
169,2116,0.04536
169,769,0.080855
169,1320,0.046496
169,2473,0.052892
170,588,0.038282
170,2633,0.044652
170,1511,0.063051
170,1953,0.037277
170,1226,0.04781
170,1216,0.044862
170,1487,0.047615
170,2318,0.079985
171,2123,0.046281
171,897,0.064968
171,1172,0.053126
171,1041,0.067303
171,2853,0.040138
172,1939,0.039647
172,1356,0.037355
172,1923,0.046808
173,1384,0.073529
173,852,0.103551
173,1482,0.088094
173,1725,0.154118
173,2419,0.078054
173,1137,0.040845
173,2552,0.03924
174,1823,0.036208
174,1479,0.115479
174,2543,0.037824
174,330,0.114745
174,410,0.117598
174,179,0.054806
174,1668,0.098768
174,2638,0.180262
174,1058,0.042436
175,733,0.045738
175,1009,0.044057
175,320,0.053918
176,1317,0.048574
176,2172,0.066742
176,1865,0.105623
176,1985,0.04907
177,2507,0.047132
177,577,0.06632
178,643,0.045563
179,323,0.073179
179,1933,0.03864
179,2197,0.045268
180,1821,0.141667
181,617,0.115672
181,657,0.064206
181,1343,0.065521
181,2737,0.12122
181,2732,0.171301
181,2011,0.057244
181,1082,0.0783
181,2871,0.086315
181,887,0.165289
181,1798,0.100391
181,792,0.167298
181,1684,0.07529
181,1858,0.044668
182,301,0.169416
182,1038,0.118497
182,318,0.056883
183,509,0.035085
183,210,0.113113
183,2448,0.045083
183,2449,0.090516
183,1225,0.056393
183,2015,0.226816
183,2658,0.03536
184,2125,0.047753
184,2789,0.099356
185,1499,0.04241
185,2667,0.070644
185,2754,0.05637
185,2380,0.041629
186,1861,0.158919
186,709,0.153097
186,277,0.092647
186,645,0.06214
186,1674,0.064765
186,2674,0.081866
187,258,0.185373
187,600,0.045107
187,207,0.079035
187,805,0.039072
187,914,0.049609
188,1029,0.045322
188,2878,0.077152
188,191,0.049917
188,2371,0.049715
189,844,0.137829
189,799,0.11544
189,2631,0.187384
189,1183,0.070877
189,395,0.061535
189,2273,0.038699
190,1796,0.151061
190,200,0.115477
190,1236,0.064652
191,1513,0.068031
191,326,0.044564
191,1177,0.069982
191,2350,0.117259
192,201,0.038077
192,2625,0.128081
192,2419,0.036539
193,977,0.062668
193,1019,0.050709
193,423,0.047195
194,310,0.054992
194,1140,0.04653
194,1711,0.042886
194,1822,0.048487
195,781,0.04368
195,1850,0.096543
195,2666,0.052795
196,2345,0.070139
196,308,0.049606
196,2535,0.08423
196,2126,0.03755
197,2453,0.04494
197,1540,0.053121
197,718,0.063668
197,1380,0.052064
198,1449,0.036107
198,786,0.168627
198,1914,0.040276
198,689,0.07436
199,1209,0.036923
199,1025,0.056639
199,1226,0.065395
199,2391,0.048973
199,2320,0.080581
199,1927,0.079946
199,902,0.070961
199,1660,0.035116
200,2447,0.141741
200,1796,0.229815
200,1797,0.052114
200,1655,0.076015
200,2750,0.155782
200,1272,0.060233
200,2047,0.061992
200,2684,0.064549
201,1263,0.088057
201,869,0.096271
201,1975,0.123926
201,1498,0.070804
201,2402,0.038795
201,575,0.109226
202,589,0.039792
202,1088,0.096799
202,301,0.050166
202,1236,0.068801
202,2312,0.07025
202,1428,0.085808
202,1296,0.057158
202,509,0.052499
202,1936,0.05939
203,1128,0.03746
203,1912,0.075381
203,584,0.03501
204,270,0.074443
205,1865,0.085147
205,2732,0.124208
206,298,0.037938
206,1085,0.084562
206,211,0.069884
206,2473,0.044811
206,955,0.044893
207,1150,0.083828
207,337,0.058255
207,339,0.059737
207,1146,0.070391
207,1701,0.045032
208,664,0.055392
208,2165,0.058758
208,2219,0.042325
209,2219,0.038326
210,413,0.05616
210,2393,0.065297
210,780,0.038605
210,2587,0.141916
211,1287,0.107426
211,298,0.102724
211,955,0.049353
212,1425,0.110735
212,713,0.042324
212,1924,0.037094
213,1499,0.086442
213,2112,0.046513
213,510,0.058509
213,2399,0.093917
213,326,0.04336
213,1513,0.0664
213,519,0.042987
214,797,0.036756
215,2165,0.046282
215,2605,0.038428
216,1755,0.067354
216,298,0.037557
216,1236,0.059729
216,1188,0.10487
216,288,0.081947
217,1291,0.189948
217,757,0.174087
217,1434,0.052053
217,1360,0.042792
218,2015,0.052682
218,2264,0.164783
218,496,0.125646
218,1181,0.072032
219,1215,0.06319
